t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-20.008,1.687,-4.669,0.331,0.931,2,2,0,0.203,0,0,0.862,-20.209,4.719,-5.241,-0.241,0.826,2,2,0,0.235,0,0,0.961,-19.732,-1.127,-4.629,0.371,0.978,2,2,0,0.206,0,0,0.859,-16.841,1.848,-5.735,-0.735,0.969,2,2,0,0.205,0,0,0.897,-22.991,1.639,-5.484,-0.484,0.889,2,2,0,0.231,0,0,0.785,2.827,0.951,0,0,0.235,-19.680,2.509,-0.251,-0.968
2.0,-20.156,0.835,-4.602,0.398,0.753,2,2,0,0.180,0,0,0.734,-20.371,4.004,-4.863,0.137,0.694,2,2,0,0.238,0,0,0.708,-19.841,-2.059,-4.491,0.509,0.800,2,2,0,0.182,0,0,0.786,-17.042,1.005,-5.435,-0.435,0.804,2,2,0,0.282,0,0,0.766,-23.247,0.852,-5.032,-0.032,0.763,2,2,0,0.277,0,0,0.651,2.913,0.770,0,0,0.282,-19.882,1.530,-0.153,-0.988
3.0,-20.255,0.154,-4.066,0.934,0.666,2,2,0,0.205,0,0,0.437,-20.455,3.365,-4.700,0.300,0.631,2,2,0,0.236,0,0,0.425,-19.897,-2.816,-4.200,0.800,0.703,2,2,0,0.230,0,0,0.548,-17.172,0.293,-5.059,-0.059,0.694,2,2,0,0.264,0,0,0.513,-23.371,0.136,-5.103,-0.103,0.696,2,2,0,0.492,0,0,0.485,2.994,0.555,0,0,0.492,-19.986,0.536,-0.054,-0.999
4.0,-20.253,-0.472,-4.149,0.851,0.663,2,2,0,0.206,0,0,0.175,-20.335,2.768,-4.854,0.146,0.687,2,14,0,0.180,0,0,0.258,-19.988,-3.449,-4.111,0.889,0.675,2,14,0,0.173,0,0,0.306,-17.157,-0.396,-5.311,-0.311,0.691,2,14,0,0.227,0,0,0.262,-23.373,-0.521,-4.761,0.239,0.712,2,14,0,0.172,0,0,0.436,2.989,0.417,0,0,0.227,-19.989,-0.464,0.046,-0.999
5.0,-20.177,-1.112,-4.191,0.809,0.755,2,14,0,0.229,0,0,0.382,-20.239,2.027,-5.192,-0.192,0.907,2,14,0,0.177,0,0,0.455,-19.911,-4.176,-4.600,0.400,0.818,2,14,0,0.203,0,0,0.315,-17.023,-1.132,-5.652,-0.652,0.816,2,14,0,0.216,0,0,0.220,-23.201,-1.333,-5.303,-0.303,0.948,2,14,0,0.178,0,0,0.462,3.103,0.597,0,0,0.229,-19.893,-1.459,0.146,-0.989
6.0,-20.057,-1.972,-4.696,0.304,1.030,2,14,0,0.182,0,0,0.528,-20.080,0.957,-5.354,-0.354,1.150,2,14,0,0.157,0,0,0.404,-19.612,-5.025,-4.761,0.239,1.013,2,14,0,0.183,0,0,0.312,-16.847,-1.986,-5.784,-0.784,0.980,2,14,0,0.223,0,0,0.314,-22.782,-2.334,-5.501,-0.501,1.157,2,14,0,0.145,0,0,0.300,2.864,0.589,0,0,0.223,-19.698,-2.439,0.244,-0.970
7.0,-19.685,-3.074,-4.828,0.172,1.249,2,14,0,0.151,0,0,0.371,-19.655,-0.191,-5.409,-0.409,1.262,2,14,0,0.172,0,0,0.175,-19.209,-6.001,-4.857,0.143,1.161,2,14,0,0.176,0,0,0.244,-16.560,-3.021,-5.857,-0.857,1.139,2,14,0,0.187,0,0,0.262,-22.412,-3.413,-5.551,-0.551,1.236,2,14,0,0.198,0,0,0.157,2.841,0.441,0,0,0.198,-19.406,-3.395,0.340,-0.941
8.0,-19.218,-4.252,-4.888,0.112,1.317,2,14,0,0.177,0,0,0.129,-19.109,-1.358,-5.424,-0.424,1.236,2,14,0,0.238,0,0,0.128,-18.755,-7.117,-4.820,0.180,1.224,2,14,0,0.181,0,0,0.039,-16.148,-4.148,-5.842,-0.842,1.211,2,14,0,0.178,0,0,0.185,-21.948,-4.539,-5.625,-0.625,1.232,2,14,0,0.173,0,0,0.062,2.842,0.332,0,0,0.238,-19.020,-4.317,0.432,-0.902
9.0,-18.790,-5.426,-4.991,0.009,1.255,2,14,0,0.176,0,0,0.291,-18.709,-2.416,-5.413,-0.413,1.110,2,14,0,0.194,0,0,0.305,-18.284,-8.175,-4.929,0.071,1.178,2,14,0,0.176,0,0,0.142,-15.590,-5.168,-5.871,-0.871,1.184,2,14,0,0.235,0,0,0.208,-21.496,-5.593,-5.662,-0.662,1.133,2,14,0,0.316,0,0,0.230,2.793,0.400,0,0,0.316,-18.544,-5.196,0.520,-0.854
10.0,-18.129,-6.399,-4.970,0.030,1.131,2,14,0,0.178,0,0,0.396,-18.183,-3.253,-5.395,-0.395,1.002,2,14,0,0.207,0,0,0.327,-17.712,-9.151,-4.937,0.063,1.094,2,14,0,0.180,0,0,0.284,-14.899,-6.073,-5.939,-0.939,1.107,2,14,0,0.158,0,0,0.256,-20.986,-6.481,-5.663,-0.663,1.018,2,14,0,0.172,0,0,0.290,2.784,0.458,0,0,0.207,-17.983,-6.023,0.602,-0.798
