t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
31.0,0.642,-0.019,-4.982,0.018,0.743,2,14,0,0.206,0,0,1.657,1.202,3.152,-5.534,-0.534,0.803,2,14,0,0.191,0,0,1.397,0.827,-3.018,-5.215,-0.215,0.786,2,14,0,0.255,0,0,1.431,4.112,0.015,-4.508,0.492,0.639,2,14,0,0.229,0,0,1.613,-2.058,-0.114,-5.800,-0.800,0.776,2,14,0,0.190,0,0,1.592,2.823,1.739,0,0,0.255,2.380,0.000,1.000,0.000
32.0,1.591,-0.036,-4.934,0.066,1.125,2,14,0,0.195,0,0,1.702,2.166,3.128,-5.492,-0.492,1.170,2,14,0,0.215,0,0,1.437,1.876,-3.022,-5.196,-0.196,1.180,2,14,0,0.234,0,0,1.390,4.895,0.023,-4.479,0.521,0.994,2,14,0,0.275,0,0,1.837,-1.141,-0.113,-5.762,-0.762,1.139,2,14,0,0.194,0,0,1.680,2.856,1.789,0,0,0.275,3.380,0.000,1.000,0.000
33.0,2.929,0.029,-4.966,0.034,1.532,2,14,0,0.231,0,0,1.362,3.425,3.034,-5.466,-0.466,1.541,2,14,0,0.245,0,0,1.183,3.260,-2.997,-5.093,-0.093,1.585,2,14,0,0.167,0,0,1.012,6.054,0.025,-4.536,0.464,1.375,2,14,0,0.192,0,0,1.683,0.199,-0.117,-5.725,-0.725,1.536,2,14,0,0.259,0,0,1.335,2.837,1.451,0,0,0.259,4.380,0.000,1.000,0.000
34.0,4.619,0.024,-5.025,-0.025,1.849,2,14,0,0.179,0,0,0.673,5.121,3.011,-5.482,-0.482,1.814,2,14,0,0.163,0,0,0.506,4.935,-3.030,-5.195,-0.195,1.760,2,14,0,0.169,0,0,0.338,7.610,0.007,-4.527,0.473,1.774,2,14,0,0.167,0,0,1.134,1.922,-0.036,-5.630,-0.630,1.857,2,14,0,0.165,0,0,0.611,2.765,0.770,0,0,0.179,5.380,0.000,1.000,0.000
35.0,6.451,0.008,-5.032,-0.032,1.794,2,14,0,0.226,0,0,0.150,6.859,3.005,-5.490,-0.490,1.701,2,14,0,0.255,0,0,0.273,6.574,-3.038,-5.179,-0.179,1.620,2,14,0,0.259,0,0,0.303,9.421,0.011,-4.550,0.450,1.932,2,14,0,0.159,0,0,0.325,3.700,-0.021,-5.715,-0.715,1.779,2,14,0,0.235,0,0,0.154,2.834,0.479,0,0,0.259,6.380,0.000,1.000,0.000
36.0,8.085,0.107,-5.026,-0.026,1.570,2,14,0,0.201,0,0,0.796,8.427,3.052,-5.557,-0.557,1.479,2,14,0,0.188,0,0,0.822,8.060,-3.117,-5.139,-0.139,1.388,2,14,0,0.192,0,0,0.794,11.321,-0.001,-4.595,0.405,1.781,2,14,0,0.189,0,0,0.577,5.363,0.043,-5.720,-0.720,1.568,2,14,0,0.195,0,0,0.822,2.809,1.048,0,0,0.201,7.380,0.000,1.000,0.000
37.0,9.538,0.121,-4.962,0.038,1.320,2,14,0,0.205,0,0,1.249,9.749,3.186,-5.566,-0.566,1.218,2,14,0,0.229,0,0,1.146,9.280,-3.097,-5.175,-0.175,1.114,2,14,0,0.197,0,0,1.017,12.976,-0.039,-4.565,0.435,1.553,2,14,0,0.267,0,0,1.238,6.745,0.076,-5.759,-0.759,1.307,2,14,0,0.193,0,0,1.220,2.905,1.597,0,0,0.267,8.380,0.000,1.000,0.000
38.0,10.720,0.082,-5.020,-0.020,1.034,2,14,0,0.254,0,0,1.429,10.851,3.271,-5.474,-0.474,0.934,2,14,0,0.187,0,0,1.267,10.194,-3.076,-5.196,-0.196,0.803,2,14,0,0.196,0,0,0.938,14.343,-0.034,-4.499,0.501,1.276,2,14,0,0.230,0,0,1.619,7.889,0.122,-5.748,-0.748,1.022,2,14,0,0.194,0,0,1.369,2.924,1.964,0,0,0.254,9.380,0.000,1.000,0.000
39.0,11.583,-0.010,-4.952,0.048,0.705,2,14,0,0.197,0,0,1.287,11.572,3.323,-5.579,-0.579,0.595,2,14,0,0.227,0,0,0.999,10.724,-2.996,-5.116,-0.116,0.527,2,14,0,0.165,0,0,0.476,15.441,0.045,-4.460,0.540,0.965,2,14,0,0.211,0,0,1.711,8.762,0.102,-5.719,-0.719,0.709,2,14,0,0.194,0,0,1.244,2.925,2.062,0,0,0.227,10.380,0.000,1.000,0.000
40.0,12.079,-0.064,-4.970,0.030,0.388,2,14,0,0.175,0,0,0.792,12.087,3.364,-5.568,-0.568,0.419,2,14,0,0.163,0,0,0.551,11.283,-2.932,-5.117,-0.117,0.549,2,14,0,0.210,0,0,0.118,16.250,0.099,-4.449,0.551,0.638,2,14,0,0.193,0,0,1.526,9.351,0.007,-5.712,-0.712,0.403,2,14,0,0.197,0,0,0.831,2.828,1.872,0,0,0.210,11.380,0.000,1.000,0.000
