t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
21.0,-0.057,-0.052,-5.002,-0.002,0.021,2,14,0,0.188,0,0,0.099,-0.016,2.541,-5.964,-0.964,0.011,2,14,0,0.145,0,0,0.049,0.115,-3.017,-4.598,0.402,0.027,2,14,0,0.177,0,0,0.048,2.932,0.333,-5.743,-0.743,0.048,2,14,0,0.151,0,0,0.062,-2.664,-0.133,-4.463,0.537,0.017,2,14,0,0.171,0,0,0.059,3.002,2.901,-4.581,0.419,0.101,2,14,0,0.191,0,0,0.058,-2.903,3.085,-5.219,-0.219,0.070,2,14,0,0.176,0,0,0.074,3.283,-3.215,-4.861,0.139,0.014,2,14,0,0.310,0,0,0.136,-2.882,-3.024,-4.972,0.028,0.052,2,14,0,0.161,0,0,0.041,2.664,0.459,0,0,0.310,0.000,0.000,0.000,0.000
22.0,-0.087,-0.001,-4.958,0.042,0.046,2,14,0,0.158,0,0,0.042,0.004,2.512,-5.985,-0.985,0.022,2,14,0,0.190,0,0,0.043,0.105,-3.016,-4.653,0.347,0.007,2,14,0,0.177,0,0,0.058,2.885,0.310,-5.801,-0.801,0.047,2,14,0,0.224,0,0,0.056,-2.623,-0.152,-4.400,0.600,0.022,2,14,0,0.175,0,0,0.083,3.058,2.790,-4.636,0.364,0.050,2,14,0,0.163,0,0,0.180,-2.935,3.164,-5.286,-0.286,0.069,2,14,0,0.148,0,0,0.016,3.249,-3.223,-4.831,0.169,0.067,2,14,0,0.187,0,0,0.102,-2.824,-2.977,-4.982,0.018,0.026,2,14,0,0.186,0,0,0.055,2.601,0.488,0,0,0.224,0.000,0.000,0.000,0.000
23.0,-0.114,0.023,-4.958,0.042,0.035,2,14,0,0.157,0,0,0.028,0.031,2.470,-6.002,-1.002,0.037,2,14,0,0.150,0,0,0.076,0.133,-3.108,-4.696,0.304,0.033,2,14,0,0.175,0,0,0.085,2.795,0.280,-5.772,-0.772,0.034,2,14,0,0.153,0,0,0.120,-2.692,-0.136,-4.428,0.572,0.048,2,14,0,0.177,0,0,0.044,3.047,2.799,-4.577,0.423,0.047,2,14,0,0.237,0,0,0.170,-2.986,3.231,-5.241,-0.241,0.051,2,14,0,0.179,0,0,0.093,3.171,-3.190,-4.833,0.167,0.081,2,14,0,0.182,0,0,0.029,-2.836,-2.997,-4.978,0.022,0.042,2,14,0,0.187,0,0,0.035,2.637,0.531,0,0,0.237,0.000,0.000,0.000,0.000
24.0,-0.060,0.059,-4.982,0.018,0.026,2,14,0,0.157,0,0,0.037,0.109,2.510,-5.974,-0.974,0.043,2,14,0,0.173,0,0,0.085,0.125,-3.087,-4.651,0.349,0.031,2,14,0,0.145,0,0,0.070,2.778,0.354,-5.791,-0.791,0.053,2,14,0,0.182,0,0,0.102,-2.714,-0.147,-4.435,0.565,0.040,2,14,0,0.172,0,0,0.035,2.982,2.868,-4.610,0.390,0.089,2,14,0,0.156,0,0,0.096,-2.951,3.247,-5.203,-0.203,0.023,2,14,0,0.173,0,0,0.098,3.062,-3.196,-4.870,0.130,0.066,2,14,0,0.152,0,0,0.087,-2.924,-3.107,-4.947,0.053,0.046,2,14,0,0.195,0,0,0.111,2.650,0.502,0,0,0.195,0.000,0.000,0.000,0.000
25.0,-0.150,0.047,-5.058,-0.058,0.036,2,14,0,0.187,0,0,0.058,0.049,2.555,-6.016,-1.016,0.039,2,14,0,0.177,0,0,0.020,0.118,-3.052,-4.668,0.332,0.048,2,14,0,0.156,0,0,0.053,2.746,0.403,-5.820,-0.820,0.057,2,14,0,0.159,0,0,0.139,-2.761,-0.147,-4.489,0.511,0.034,2,14,0,0.172,0,0,0.068,2.998,2.942,-4.603,0.397,0.086,2,14,0,0.190,0,0,0.019,-2.878,3.219,-5.272,-0.272,0.048,2,14,0,0.179,0,0,0.094,3.029,-3.201,-4.840,0.160,0.010,2,14,0,0.199,0,0,0.119,-2.930,-3.141,-4.963,0.037,0.026,2,14,0,0.179,0,0,0.141,2.679,0.476,0,0,0.199,0.000,0.000,0.000,0.000
26.0,-0.228,0.033,-4.995,0.005,0.013,2,14,0,0.180,0,0,0.137,-0.046,2.604,-5.983,-0.983,0.031,2,14,0,0.153,0,0,0.098,0.196,-2.989,-4.648,0.352,0.057,2,14,0,0.175,0,0,0.048,2.804,0.379,-5.792,-0.792,0.079,2,14,0,0.158,0,0,0.078,-2.852,-0.171,-4.473,0.527,0.034,2,14,0,0.175,0,0,0.151,2.996,3.022,-4.626,0.374,0.062,2,14,0,0.183,0,0,0.061,-2.882,3.121,-5.290,-0.290,0.064,2,14,0,0.217,0,0,0.065,3.122,-3.216,-4.796,0.204,0.039,2,14,0,0.157,0,0,0.027,-2.858,-3.133,-5.049,-0.049,0.073,2,14,0,0.186,0,0,0.104,2.683,0.427,0,0,0.217,0.000,0.000,0.000,0.000
27.0,-0.160,0.050,-4.956,0.044,0.053,2,14,0,0.188,0,0,0.071,-0.091,2.534,-5.935,-0.935,0.029,2,14,0,0.167,0,0,0.124,0.223,-2.941,-4.591,0.409,0.009,2,14,0,0.153,0,0,0.106,2.891,0.377,-5.775,-0.775,0.077,2,14,0,0.146,0,0,0.015,-2.827,-0.219,-4.444,0.556,0.073,2,14,0,0.200,0,0,0.133,2.985,3.063,-4.586,0.414,0.015,2,14,0,0.155,0,0,0.103,-2.953,3.077,-5.225,-0.225,0.046,2,14,0,0.144,0,0,0.073,3.184,-3.143,-4.805,0.195,0.038,2,14,0,0.147,0,0,0.073,-2.774,-3.102,-5.006,-0.006,0.075,2,14,0,0.247,0,0,0.097,2.671,0.475,0,0,0.247,0.000,0.000,0.000,0.000
28.0,-0.121,0.098,-5.000,-0.000,0.054,2,14,0,0.150,0,0,0.066,-0.050,2.515,-5.982,-0.982,0.071,2,14,0,0.170,0,0,0.089,0.235,-2.951,-4.660,0.340,0.036,2,14,0,0.181,0,0,0.107,3.001,0.361,-5.765,-0.765,0.046,2,14,0,0.148,0,0,0.120,-2.734,-0.185,-4.423,0.577,0.085,2,14,0,0.147,0,0,0.034,2.990,3.071,-4.567,0.433,0.033,2,14,0,0.201,0,0,0.111,-2.972,3.129,-5.278,-0.278,0.022,2,14,0,0.177,0,0,0.038,3.243,-3.175,-4.852,0.148,0.034,2,14,0,0.185,0,0,0.100,-2.773,-3.073,-4.974,0.026,0.068,2,14,0,0.168,0,0,0.081,2.609,0.488,0,0,0.201,0.000,0.000,0.000,0.000
29.0,-0.047,0.110,-5.015,-0.015,0.062,2,14,0,0.274,0,0,0.118,-0.009,2.553,-5.972,-0.972,0.083,2,14,0,0.223,0,0,0.181,0.187,-2.996,-4.643,0.357,0.058,2,14,0,0.227,0,0,0.119,3.006,0.400,-5.802,-0.802,0.019,2,14,0,0.201,0,0,0.037,-2.661,-0.164,-4.364,0.636,0.064,2,14,0,0.625,0,0,0.102,2.933,3.002,-4.602,0.398,0.062,2,14,0,0.227,0,0,0.209,-2.963,3.135,-5.272,-0.272,0.022,2,14,0,0.919,0,0,0.164,3.202,-3.171,-4.883,0.117,0.044,2,14,0,0.229,0,0,0.093,-2.768,-2.964,-4.958,0.042,0.074,2,14,0,0.237,0,0,0.093,2.625,0.477,0,0,0.919,0.160,0.000,1.000,0.000
30.0,0.204,0.095,-5.045,-0.045,0.365,2,14,0,0.233,0,0,0.848,0.229,2.598,-5.955,-0.955,0.383,2,14,0,0.202,0,0,0.948,0.251,-3.092,-4.680,0.320,0.240,2,14,0,0.247,0,0,1.058,3.081,0.356,-5.780,-0.780,0.250,2,14,0,0.207,0,0,0.941,-2.500,-0.190,-4.401,0.599,0.348,2,14,0,0.222,0,0,0.939,3.103,2.952,-4.641,0.359,0.300,2,14,0,0.273,0,0,1.037,-2.836,3.137,-5.215,-0.215,0.287,2,14,0,0.251,0,0,1.037,3.312,-3.216,-4.876,0.124,0.253,2,14,0,0.204,0,0,0.976,-2.743,-2.928,-4.957,0.043,0.233,2,14,0,0.236,0,0,1.046,2.663,1.137,0,0,0.273,1.160,0.000,1.000,0.000
31.0,0.702,-0.014,-5.045,-0.045,0.693,2,14,0,0.346,0,0,1.353,0.724,2.633,-5.960,-0.960,0.710,2,14,0,0.279,0,0,1.457,0.659,-3.141,-4.648,0.352,0.563,2,14,0,0.199,0,0,1.656,3.481,0.375,-5.801,-0.801,0.568,2,14,0,0.232,0,0,1.543,-1.987,-0.177,-4.430,0.570,0.682,2,14,0,0.199,0,0,1.426,3.549,2.918,-4.605,0.395,0.621,2,14,0,0.202,0,0,1.595,-2.417,3.136,-5.256,-0.256,0.611,2,14,0,0.230,0,0,1.622,3.731,-3.201,-4.829,0.171,0.577,2,14,0,0.203,0,0,1.557,-2.345,-2.928,-5.032,-0.032,0.556,2,14,0,0.216,0,0,1.646,2.763,1.720,0,0,0.346,2.160,0.000,1.000,0.000
32.0,1.537,-0.053,-4.976,0.024,1.047,2,14,0,0.263,0,0,1.523,1.569,2.588,-5.996,-0.996,1.065,2,14,0,0.270,0,0,1.603,1.343,-3.160,-4.721,0.279,0.897,2,14,0,0.227,0,0,1.986,4.195,0.359,-5.789,-0.789,0.916,2,14,0,0.213,0,0,1.841,-1.130,-0.166,-4.453,0.547,1.041,2,14,0,0.199,0,0,1.578,4.446,2.943,-4.615,0.385,1.004,2,14,0,0.232,0,0,1.710,-1.610,3.134,-5.256,-0.256,0.969,2,14,0,0.327,0,0,1.818,4.442,-3.192,-4.766,0.234,0.922,2,14,0,0.201,0,0,1.853,-1.511,-2.999,-5.005,-0.005,0.936,2,14,0,0.242,0,0,1.817,2.720,1.998,0,0,0.327,3.160,0.000,1.000,0.000
33.0,2.821,-0.021,-5.007,-0.007,1.442,2,14,0,0.211,0,0,1.251,2.759,2.565,-5.944,-0.944,1.440,2,14,0,0.234,0,0,1.413,2.417,-3.044,-4.626,0.374,1.282,2,14,0,0.327,0,0,1.908,5.309,0.289,-5.783,-0.783,1.292,2,14,0,0.228,0,0,1.732,0.128,-0.166,-4.405,0.595,1.438,2,14,0,0.198,0,0,1.323,5.620,2.970,-4.616,0.384,1.384,2,14,0,0.216,0,0,1.540,-0.500,3.134,-5.238,-0.238,1.340,2,14,0,0.197,0,0,1.700,5.515,-3.191,-4.801,0.199,1.293,2,14,0,0.263,0,0,1.773,-0.438,-3.114,-4.975,0.025,1.299,2,14,0,0.215,0,0,1.749,2.624,1.874,0,0,0.327,4.160,0.000,1.000,0.000
34.0,4.314,0.015,-5.010,-0.010,1.738,2,14,0,0.179,0,0,0.761,4.315,2.555,-5.926,-0.926,1.793,2,14,0,0.171,0,0,0.857,3.858,-3.000,-4.618,0.382,1.671,2,14,0,0.229,0,0,1.451,6.743,0.300,-5.820,-0.820,1.680,2,14,0,0.229,0,0,1.305,1.684,-0.184,-4.426,0.574,1.773,2,14,0,0.183,0,0,0.770,7.101,2.985,-4.656,0.344,1.758,2,14,0,0.188,0,0,1.065,0.904,3.181,-5.275,-0.275,1.710,2,14,0,0.207,0,0,1.296,6.910,-3.210,-4.834,0.166,1.672,2,14,0,0.203,0,0,1.383,0.899,-3.168,-5.011,-0.011,1.663,2,14,0,0.245,0,0,1.419,2.576,1.448,0,0,0.245,5.160,0.000,1.000,0.000
35.0,5.982,0.050,-5.047,-0.047,1.753,2,14,0,0.180,0,0,0.094,6.131,2.511,-6.051,-1.051,1.826,2,14,0,0.282,0,0,0.065,5.589,-3.044,-4.629,0.371,1.971,2,14,0,0.230,0,0,0.745,8.545,0.291,-5.852,-0.852,1.934,2,14,0,0.211,0,0,0.510,3.431,-0.186,-4.391,0.609,1.793,2,14,0,0.318,0,0,0.023,8.890,2.998,-4.614,0.386,1.892,2,14,0,0.205,0,0,0.280,2.669,3.223,-5.255,-0.255,1.953,2,14,0,0.171,0,0,0.536,8.640,-3.230,-4.819,0.181,1.949,2,14,0,0.183,0,0,0.648,2.629,-3.162,-5.013,-0.013,1.952,2,14,0,0.185,0,0,0.697,2.645,0.680,0,0,0.318,6.160,0.000,1.000,0.000
