t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.387,0.177,-0.503,4.497,0.045,2,14,0,0.239,0,0,0.108,-2.871,-0.021,0.571,5.571,0.061,2,14,0,0.210,0,0,0.031,2.713,0.426,0,0,0.239,0.000,0.000,0.000,0.000
2.0,-0.365,0.116,-1.162,3.838,0.054,2,14,0,0.207,0,0,0.101,-2.826,-0.022,-0.222,4.778,0.079,2,14,0,0.208,0,0,0.061,2.638,0.383,0,0,0.208,0.000,0.000,0.000,0.000
3.0,-0.487,0.117,-2.165,2.835,0.083,2,14,0,0.266,0,0,0.025,-2.775,0.074,-1.367,3.633,0.013,2,14,0,0.233,0,0,0.121,2.424,0.501,0,0,0.266,0.000,0.000,0.000,0.000
4.0,-0.538,0.111,-3.415,1.585,0.058,2,14,0,0.266,0,0,0.072,-2.733,0.149,-2.591,2.409,0.029,2,14,0,0.262,0,0,0.202,2.345,0.549,0,0,0.266,0.000,0.000,0.000,0.000
5.0,-0.597,0.114,-4.433,0.567,0.016,2,14,0,0.159,0,0,0.132,-2.804,0.066,-3.915,1.085,0.113,2,14,0,0.156,0,0,0.094,2.268,0.607,0,0,0.159,0.000,0.000,0.000,0.000
6.0,-0.529,0.124,-4.753,0.247,0.064,2,14,0,0.157,0,0,0.069,-2.853,0.018,-4.597,0.403,0.110,2,14,0,0.151,0,0,0.028,2.331,0.544,0,0,0.157,0.000,0.000,0.000,0.000
7.0,-0.440,0.083,-4.924,0.076,0.056,2,14,0,0.123,0,0,0.033,-2.969,-0.041,-4.854,0.146,0.093,2,14,0,0.148,0,0,0.103,2.534,0.448,0,0,0.148,0.000,0.000,0.000,0.000
8.0,-0.443,0.111,-4.977,0.023,0.027,2,14,0,0.125,0,0,0.022,-2.941,-0.121,-4.934,0.066,0.022,2,14,0,0.150,0,0,0.143,2.508,0.457,0,0,0.150,0.000,0.000,0.000,0.000
9.0,-0.424,0.070,-4.942,0.058,0.014,2,14,0,0.121,0,0,0.052,-2.926,-0.110,-4.913,0.087,0.053,2,14,0,0.147,0,0,0.129,2.508,0.430,0,0,0.147,0.000,0.000,0.000,0.000
10.0,-0.398,0.076,-4.916,0.084,0.020,2,14,0,0.121,0,0,0.072,-2.846,-0.083,-4.958,0.042,0.066,2,14,0,0.119,0,0,0.097,2.453,0.405,0,0,0.121,0.000,0.000,0.000,0.000
