t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.029,-0.152,-0.504,4.496,0.062,2,14,0,0.250,0,0,0.127,-0.967,2.562,-0.055,4.945,0.076,2,14,0,0.216,0,0,0.163,-1.649,-2.577,-0.567,4.433,0.048,2,14,0,0.320,0,0,0.020,4.851,0.534,0,0,0.320,0.000,0.000,0.000,0.000
2.0,3.121,-0.086,-1.331,3.669,0.126,2,14,0,0.238,0,0,0.046,-0.799,2.444,-0.762,4.238,0.087,2,14,0,0.244,0,0,0.154,-1.605,-2.570,-1.318,3.682,0.094,2,14,0,0.263,0,0,0.057,4.700,0.718,0,0,0.263,0.000,0.000,0.000,0.000
3.0,3.281,-0.064,-2.439,2.561,0.076,2,14,0,0.262,0,0,0.142,-0.788,2.369,-1.954,3.046,0.073,2,14,0,0.240,0,0,0.161,-1.627,-2.541,-2.435,2.565,0.052,2,14,0,0.258,0,0,0.040,4.765,0.748,0,0,0.262,0.000,0.000,0.000,0.000
4.0,3.309,-0.088,-3.700,1.300,0.039,2,14,0,0.164,0,0,0.161,-0.869,2.295,-3.163,1.837,0.114,2,14,0,0.276,0,0,0.131,-1.718,-2.571,-3.675,1.325,0.053,2,14,0,0.161,0,0,0.057,4.839,0.700,0,0,0.276,0.000,0.000,0.000,0.000
5.0,3.189,-0.105,-4.502,0.498,0.081,2,14,0,0.233,0,0,0.041,-0.911,2.300,-4.260,0.740,0.106,2,14,0,0.188,0,0,0.105,-1.805,-2.522,-4.479,0.521,0.036,2,14,0,0.170,0,0,0.148,4.759,0.660,0,0,0.233,0.000,0.000,0.000,0.000
6.0,3.140,-0.132,-4.777,0.223,0.065,2,14,0,0.165,0,0,0.015,-0.982,2.282,-4.680,0.320,0.084,2,14,0,0.171,0,0,0.123,-1.772,-2.599,-4.722,0.278,0.065,2,14,0,0.163,0,0,0.118,4.778,0.607,0,0,0.171,0.000,0.000,0.000,0.000
7.0,3.072,-0.214,-4.939,0.061,0.048,2,14,0,0.159,0,0,0.122,-1.032,2.312,-4.845,0.155,0.072,2,14,0,0.167,0,0,0.122,-1.697,-2.653,-4.882,0.118,0.074,2,14,0,0.135,0,0,0.099,4.819,0.549,0,0,0.167,0.000,0.000,0.000,0.000
8.0,3.138,-0.238,-4.913,0.087,0.032,2,14,0,0.161,0,0,0.119,-1.100,2.370,-4.935,0.065,0.073,2,14,0,0.138,0,0,0.156,-1.708,-2.691,-4.924,0.076,0.051,2,14,0,0.161,0,0,0.138,4.976,0.461,0,0,0.161,0.000,0.000,0.000,0.000
9.0,3.162,-0.156,-4.950,0.050,0.058,2,14,0,0.156,0,0,0.036,-1.033,2.416,-4.916,0.084,0.076,2,14,0,0.136,0,0,0.088,-1.590,-2.649,-4.945,0.055,0.074,2,14,0,0.154,0,0,0.113,4.921,0.502,0,0,0.156,0.000,0.000,0.000,0.000
10.0,3.132,-0.175,-4.944,0.056,0.054,2,14,0,0.160,0,0,0.057,-0.987,2.483,-4.931,0.069,0.070,2,14,0,0.169,0,0,0.093,-1.580,-2.628,-4.916,0.084,0.068,2,14,0,0.160,0,0,0.106,4.903,0.525,0,0,0.169,0.000,0.000,0.000,0.000
11.0,3.137,-0.135,-4.910,0.090,0.048,2,14,0,0.153,0,0,0.020,-0.893,2.515,-4.998,0.002,0.056,2,14,0,0.149,0,0,0.127,-1.632,-2.574,-5.019,-0.019,0.081,2,14,0,0.162,0,0,0.032,4.824,0.613,0,0,0.162,0.000,0.000,0.000,0.000
12.0,3.037,-0.074,-4.994,0.006,0.043,2,14,0,0.140,0,0,0.124,-0.862,2.451,-5.009,-0.009,0.061,2,14,0,0.180,0,0,0.099,-1.615,-2.535,-5.002,-0.002,0.057,2,14,0,0.165,0,0,0.053,4.645,0.655,0,0,0.180,0.000,0.000,0.000,0.000
13.0,3.054,-0.021,-4.982,0.018,0.056,2,14,0,0.139,0,0,0.140,-0.882,2.371,-4.994,0.006,0.083,2,14,0,0.181,0,0,0.071,-1.683,-2.507,-4.964,0.036,0.044,2,14,0,0.169,0,0,0.058,4.606,0.659,0,0,0.181,0.000,0.000,0.000,0.000
14.0,3.078,-0.037,-4.951,0.049,0.081,2,14,0,0.161,0,0,0.111,-0.976,2.352,-4.975,0.025,0.065,2,14,0,0.207,0,0,0.057,-1.787,-2.453,-4.962,0.038,0.025,2,14,0,0.161,0,0,0.165,4.706,0.579,0,0,0.207,0.000,0.000,0.000,0.000
15.0,3.164,-0.084,-5.032,-0.032,0.091,2,14,0,0.172,0,0,0.039,-1.053,2.367,-5.004,-0.004,0.041,2,14,0,0.186,0,0,0.112,-1.791,-2.478,-5.060,-0.060,0.076,2,14,0,0.211,0,0,0.155,4.879,0.503,0,0,0.211,0.000,0.000,0.000,0.000
16.0,3.264,-0.145,-5.037,-0.037,0.062,2,14,0,0.133,0,0,0.115,-1.111,2.405,-5.071,-0.071,0.027,2,14,0,0.146,0,0,0.164,-1.659,-2.520,-5.016,-0.016,0.105,2,14,0,0.155,0,0,0.041,4.956,0.435,0,0,0.155,0.000,0.000,0.000,0.000
17.0,3.373,-0.081,-5.017,-0.017,0.023,2,14,0,0.193,0,0,0.225,-1.059,2.461,-5.019,-0.019,0.076,2,14,0,0.152,0,0,0.129,-1.590,-2.598,-5.030,-0.030,0.081,2,14,0,0.169,0,0,0.079,5.087,0.462,0,0,0.193,0.000,0.000,0.000,0.000
18.0,3.267,-0.076,-4.951,0.049,0.117,2,14,0,0.156,0,0,0.126,-0.909,2.440,-4.989,0.011,0.098,2,14,0,0.165,0,0,0.055,-1.526,-2.618,-5.071,-0.071,0.024,2,14,0,0.129,0,0,0.146,4.876,0.612,0,0,0.165,0.000,0.000,0.000,0.000
19.0,3.028,-0.095,-5.073,-0.073,0.126,2,14,0,0.170,0,0,0.122,-0.824,2.379,-4.982,0.018,0.052,2,14,0,0.209,0,0,0.132,-1.509,-2.642,-4.898,0.102,0.049,2,14,0,0.191,0,0,0.188,4.579,0.720,0,0,0.209,-0.000,0.029,-0.000,0.132
