t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,10.0000,-0.0000,-10.0000,0.0000,0.1560,10.0000,3.0000,-10.0000,0.0000,0.1214,10.0000,-3.0000,-10.0000,0.0000,0.1077,13.0000,0.0000,-10.0000,0.0000,0.0856,7.0000,0.0000,-10.0000,0.0000,0.0839,10.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,10.0000,-0.0000,-10.0000,0.0000,0.1008,10.0000,3.0000,-10.0000,0.0000,0.1078,10.0000,-3.0000,-10.0000,0.0000,0.1006,13.0000,0.0000,-10.0000,0.0000,0.0739,7.0000,0.0000,-10.0000,0.0000,0.0701,10.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,10.0000,-0.0000,-10.0000,0.0000,0.0954,10.0000,3.0000,-10.0000,0.0000,0.1003,10.0000,-3.0000,-10.0000,0.0000,0.0884,13.0000,0.0000,-10.0000,0.0000,0.0643,7.0000,0.0000,-10.0000,0.0000,0.0635,10.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,10.0000,-0.0000,-10.0000,0.0000,0.0956,10.0000,3.0000,-10.0000,0.0000,0.1005,10.0000,-3.0000,-10.0000,0.0000,0.0798,13.0000,0.0000,-10.0000,0.0000,0.0604,7.0000,0.0000,-10.0000,0.0000,0.0599,10.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,10.0000,-0.0000,-10.0000,0.0000,0.0913,10.0000,3.0000,-10.0000,0.0000,0.1012,10.0000,-3.0000,-10.0000,0.0000,0.0789,13.0000,0.0000,-10.0000,0.0000,0.0600,7.0000,0.0000,-10.0000,0.0000,0.0595,10.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,10.0000,-0.0000,-10.0000,0.0000,0.0725,10.0000,3.0000,-10.0000,0.0000,0.0756,10.0000,-3.0000,-10.0000,0.0000,0.0581,13.0000,0.0000,-10.0000,0.0000,0.0458,7.0000,0.0000,-10.0000,0.0000,0.0438,10.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,10.0000,-0.0000,-10.0000,0.0000,0.0724,10.0000,3.0000,-10.0000,0.0000,0.0760,10.0000,-3.0000,-10.0000,0.0000,0.0575,13.0000,0.0000,-10.0000,0.0000,0.0467,7.0000,0.0000,-10.0000,0.0000,0.0491,10.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,10.0000,-0.0000,-10.0000,0.0000,0.0772,10.0000,3.0000,-10.0000,0.0000,0.0760,10.0000,-3.0000,-10.0000,0.0000,0.0535,13.0000,0.0000,-10.0000,0.0000,0.0438,7.0000,0.0000,-10.0000,0.0000,0.0433,10.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,10.0000,-0.0000,-10.0000,0.0000,0.0731,10.0000,3.0000,-10.0000,0.0000,0.0785,10.0000,-3.0000,-10.0000,0.0000,0.0554,13.0000,0.0000,-10.0000,0.0000,0.0452,7.0000,0.0000,-10.0000,0.0000,0.0443,10.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,10.0000,-0.0000,-10.0000,0.0000,0.0729,10.0000,3.0000,-10.0000,0.0000,0.0765,10.0000,-3.0000,-10.0000,0.0000,0.0553,13.0000,0.0000,-10.0000,0.0000,0.0444,7.0000,0.0000,-10.0000,0.0000,0.0442,10.0000,0.0000,-5.0000,0.0000,3.0000
0.5000,10.0000,-0.0000,-10.0000,0.0000,0.0735,10.0000,3.0000,-10.0000,0.0000,0.0767,10.0000,-3.0000,-10.0000,0.0000,0.0540,13.0000,0.0000,-10.0000,0.0000,0.0446,7.0000,0.0000,-10.0000,0.0000,0.0443,10.0000,0.0000,-5.0000,0.0000,3.0000
0.5500,10.0000,-0.0000,-10.0000,0.0000,0.0733,10.0000,3.0000,-10.0000,0.0000,0.0766,10.0000,-3.0000,-10.0000,0.0000,0.0544,13.0000,0.0000,-10.0000,0.0000,0.0443,7.0000,0.0000,-10.0000,0.0000,0.0448,10.0000,0.0000,-5.0000,0.0000,3.0000
0.6000,10.0000,-0.0000,-10.0000,0.0000,0.0733,10.0000,3.0000,-10.0000,0.0000,0.0768,10.0000,-3.0000,-10.0000,0.0000,0.0544,13.0000,0.0000,-10.0000,0.0000,0.0467,7.0000,0.0000,-10.0000,0.0000,0.0441,10.0000,0.0000,-5.0000,0.0000,3.0000
0.6500,10.0000,-0.0000,-10.0000,0.0000,0.0731,10.0000,3.0000,-10.0000,0.0000,0.0769,10.0000,-3.0000,-10.0000,0.0000,0.0536,13.0000,0.0000,-10.0000,0.0000,0.0444,7.0000,0.0000,-10.0000,0.0000,0.0442,10.0000,0.0000,-5.0000,0.0000,3.0000
0.7000,10.0000,-0.0000,-10.0000,0.0000,0.0752,10.0000,3.0000,-10.0000,0.0000,0.0764,10.0000,-3.0000,-10.0000,0.0000,0.0554,13.0000,0.0000,-10.0000,0.0000,0.0441,7.0000,0.0000,-10.0000,0.0000,0.0435,10.0000,0.0000,-5.0000,0.0000,3.0000
0.7500,10.0000,-0.0000,-10.0000,0.0000,0.0730,10.0000,3.0000,-10.0000,0.0000,0.0764,10.0000,-3.0000,-10.0000,0.0000,0.0529,13.0000,0.0000,-10.0000,0.0000,0.0439,7.0000,0.0000,-10.0000,0.0000,0.0440,10.0000,0.0000,-5.0000,0.0000,3.0000
0.8000,10.0000,-0.0000,-10.0000,0.0000,0.0725,10.0000,3.0000,-10.0000,0.0000,0.0759,10.0000,-3.0000,-10.0000,0.0000,0.0531,13.0000,0.0000,-10.0000,0.0000,0.0441,7.0000,0.0000,-10.0000,0.0000,0.0442,10.0000,0.0000,-5.0000,0.0000,3.0000
0.8500,10.0000,0.0000,-10.0000,0.0000,0.0838,10.0000,3.0000,-10.0000,0.0000,0.0778,10.0000,-3.0000,-10.0000,0.0000,0.0516,13.0000,0.0000,-10.0000,0.0000,0.0442,7.0000,0.0000,-10.0000,0.0000,0.0443,10.0000,0.0000,-5.0000,0.0000,3.0000
