t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,-0.0000,0.0000,-10.0000,0.0000,0.8593,-0.0000,3.0000,-10.0000,0.0000,0.5483,-0.0000,-3.0000,-10.0000,0.0000,0.1277,3.0000,0.0000,-10.0000,0.0000,0.0848,-3.0000,0.0000,-10.0000,0.0000,0.0828,0.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,-0.0000,0.0000,-10.0000,0.0000,0.3561,-0.0000,3.0000,-10.0000,0.0000,0.2579,-0.0000,-3.0000,-10.0000,0.0000,0.0700,3.0000,0.0000,-10.0000,0.0000,0.0702,-3.0000,0.0000,-10.0000,0.0000,0.0698,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,-0.0000,0.0000,-10.0000,0.0000,0.2116,-0.0000,3.0000,-10.0000,0.0000,0.2744,-0.0000,-3.0000,-10.0000,0.0000,0.0463,3.0000,0.0000,-10.0000,0.0000,0.0628,-3.0000,0.0000,-10.0000,0.0000,0.0637,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,-0.0000,0.0000,-10.0000,0.0000,0.3579,-0.0000,3.0000,-10.0000,0.0000,0.3066,-0.0000,-3.0000,-10.0000,0.0000,0.0497,3.0000,0.0000,-10.0000,0.0000,0.0635,-3.0000,0.0000,-10.0000,0.0000,0.0629,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,-0.0000,0.0000,-10.0000,0.0000,0.2106,-0.0000,3.0000,-10.0000,0.0000,0.3137,-0.0000,-3.0000,-10.0000,0.0000,0.0462,3.0000,0.0000,-10.0000,0.0000,0.0440,-3.0000,0.0000,-10.0000,0.0000,0.0437,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,-0.0000,0.0000,-10.0000,0.0000,0.1978,-0.0000,3.0000,-10.0000,0.0000,0.1632,-0.0000,-3.0000,-10.0000,0.0000,0.0473,3.0000,0.0000,-10.0000,0.0000,0.0507,-3.0000,0.0000,-10.0000,0.0000,0.0493,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,-0.0000,0.0000,-10.0000,0.0000,0.2011,-0.0000,3.0000,-10.0000,0.0000,0.1471,-0.0000,-3.0000,-10.0000,0.0000,0.0442,3.0000,0.0000,-10.0000,0.0000,0.0650,-3.0000,0.0000,-10.0000,0.0000,0.0475,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,-0.0000,0.0000,-10.0000,0.0000,0.2153,-0.0000,3.0000,-10.0000,0.0000,0.1552,-0.0000,-3.0000,-10.0000,0.0000,0.0472,3.0000,0.0000,-10.0000,0.0000,0.0443,-3.0000,0.0000,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,-0.0000,0.0000,-10.0000,0.0000,0.1989,-0.0000,3.0000,-10.0000,0.0000,0.1299,-0.0000,-3.0000,-10.0000,0.0000,0.0440,3.0000,0.0000,-10.0000,0.0000,0.0444,-3.0000,0.0000,-10.0000,0.0000,0.0437,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,-0.0000,0.0000,-10.0000,0.0000,0.3549,-0.0000,3.0000,-10.0000,0.0000,0.1192,-0.0000,-3.0000,-10.0000,0.0000,0.0443,3.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,3.0000
