t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,0.0000,-0.0000,-10.0000,0.0000,0.2083,-0.0000,3.0000,-10.0000,0.0000,0.1723,-0.0000,-3.0000,-10.0000,0.0000,0.0848,3.0000,0.0000,-10.0000,0.0000,0.0688,-3.0000,0.0000,-10.0000,0.0000,0.0684,0.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,0.0000,-0.0000,-10.0000,0.0000,0.0847,-0.0000,3.0000,-10.0000,0.0000,0.1275,-0.0000,-3.0000,-10.0000,0.0000,0.0734,3.0000,0.0000,-10.0000,0.0000,0.0574,-3.0000,0.0000,-10.0000,0.0000,0.0522,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,0.0000,-0.0000,-10.0000,0.0000,0.0768,-0.0000,3.0000,-10.0000,0.0000,0.0828,-0.0000,-3.0000,-10.0000,0.0000,0.0476,3.0000,0.0000,-10.0000,0.0000,0.0468,-3.0000,0.0000,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,0.0000,-0.0000,-10.0000,0.0000,0.0731,-0.0000,3.0000,-10.0000,0.0000,0.0816,-0.0000,-3.0000,-10.0000,0.0000,0.0446,3.0000,0.0000,-10.0000,0.0000,0.0443,-3.0000,0.0000,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,0.0000,-0.0000,-10.0000,0.0000,0.0730,-0.0000,3.0000,-10.0000,0.0000,0.0763,-0.0000,-3.0000,-10.0000,0.0000,0.0457,3.0000,0.0000,-10.0000,0.0000,0.0462,-3.0000,0.0000,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,0.0000,-0.0000,-10.0000,0.0000,0.0765,-0.0000,3.0000,-10.0000,0.0000,0.0804,-0.0000,-3.0000,-10.0000,0.0000,0.0465,3.0000,0.0000,-10.0000,0.0000,0.0472,-3.0000,0.0000,-10.0000,0.0000,0.0464,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,0.0000,-0.0000,-10.0000,0.0000,0.0770,-0.0000,3.0000,-10.0000,0.0000,0.0806,-0.0000,-3.0000,-10.0000,0.0000,0.0463,3.0000,0.0000,-10.0000,0.0000,0.0468,-3.0000,0.0000,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,0.0000,-0.0000,-10.0000,0.0000,0.0773,-0.0000,3.0000,-10.0000,0.0000,0.0806,-0.0000,-3.0000,-10.0000,0.0000,0.0464,3.0000,0.0000,-10.0000,0.0000,0.0461,-3.0000,0.0000,-10.0000,0.0000,0.0466,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,0.0000,-0.0000,-10.0000,0.0000,0.0768,-0.0000,3.0000,-10.0000,0.0000,0.0803,-0.0000,-3.0000,-10.0000,0.0000,0.0475,3.0000,0.0000,-10.0000,0.0000,0.0476,-3.0000,0.0000,-10.0000,0.0000,0.0471,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,0.0000,-0.0000,-10.0000,0.0000,0.0758,-0.0000,3.0000,-10.0000,0.0000,0.0763,-0.0000,-3.0000,-10.0000,0.0000,0.0439,3.0000,0.0000,-10.0000,0.0000,0.0442,-3.0000,0.0000,-10.0000,0.0000,0.0437,0.0000,0.0000,-5.0000,0.0000,3.0000
