t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,d5_x,d5_y,d5_z,d5_poserr,d5_solve_ms,d6_x,d6_y,d6_z,d6_poserr,d6_solve_ms,d7_x,d7_y,d7_z,d7_poserr,d7_solve_ms,d8_x,d8_y,d8_z,d8_poserr,d8_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,10.0000,0.0000,-10.0000,0.0000,0.1532,10.0000,3.0000,-10.0000,0.0000,0.1189,10.0000,-3.0000,-10.0000,0.0000,0.1034,13.0000,0.0000,-10.0000,0.0000,0.2177,7.0000,0.0000,-10.0000,0.0000,0.2698,13.0000,3.0000,-10.0000,0.0000,0.0852,7.0000,3.0000,-10.0000,0.0000,0.0818,13.0000,-3.0000,-10.0000,0.0000,0.0818,7.0000,-3.0000,-10.0000,0.0000,0.0830,10.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,10.0000,0.0000,-10.0000,0.0000,0.0827,10.0000,3.0000,-10.0000,0.0000,0.0857,10.0000,-3.0000,-10.0000,0.0000,0.0818,13.0000,0.0000,-10.0000,0.0000,0.0945,7.0000,0.0000,-10.0000,0.0000,0.1732,13.0000,3.0000,-10.0000,0.0000,0.0610,7.0000,3.0000,-10.0000,0.0000,0.0592,13.0000,-3.0000,-10.0000,0.0000,0.0608,7.0000,-3.0000,-10.0000,0.0000,0.0529,10.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,10.0000,0.0000,-10.0000,0.0000,0.0792,10.0000,3.0000,-10.0000,0.0000,0.0792,10.0000,-3.0000,-10.0000,0.0000,0.0696,13.0000,0.0000,-10.0000,0.0000,0.0807,7.0000,0.0000,-10.0000,0.0000,0.1727,13.0000,3.0000,-10.0000,0.0000,0.0494,7.0000,3.0000,-10.0000,0.0000,0.0455,13.0000,-3.0000,-10.0000,0.0000,0.0456,7.0000,-3.0000,-10.0000,0.0000,0.0464,10.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,10.0000,0.0000,-10.0000,0.0000,0.0744,10.0000,3.0000,-10.0000,0.0000,0.0773,10.0000,-3.0000,-10.0000,0.0000,0.0716,13.0000,0.0000,-10.0000,0.0000,0.0815,7.0000,0.0000,-10.0000,0.0000,0.1550,13.0000,3.0000,-10.0000,0.0000,0.0452,7.0000,3.0000,-10.0000,0.0000,0.0455,13.0000,-3.0000,-10.0000,0.0000,0.0456,7.0000,-3.0000,-10.0000,0.0000,0.0459,10.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,10.0000,0.0000,-10.0000,0.0000,0.0784,10.0000,3.0000,-10.0000,0.0000,0.0773,10.0000,-3.0000,-10.0000,0.0000,0.0683,13.0000,0.0000,-10.0000,0.0000,0.0795,7.0000,0.0000,-10.0000,0.0000,0.1518,13.0000,3.0000,-10.0000,0.0000,0.0460,7.0000,3.0000,-10.0000,0.0000,0.0455,13.0000,-3.0000,-10.0000,0.0000,0.0479,7.0000,-3.0000,-10.0000,0.0000,0.0449,10.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,10.0000,0.0000,-10.0000,0.0000,0.0738,10.0000,3.0000,-10.0000,0.0000,0.0773,10.0000,-3.0000,-10.0000,0.0000,0.0678,13.0000,0.0000,-10.0000,0.0000,0.0792,7.0000,0.0000,-10.0000,0.0000,0.1605,13.0000,3.0000,-10.0000,0.0000,0.0470,7.0000,3.0000,-10.0000,0.0000,0.0447,13.0000,-3.0000,-10.0000,0.0000,0.0449,7.0000,-3.0000,-10.0000,0.0000,0.0452,10.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,10.0000,0.0000,-10.0000,0.0000,0.0778,10.0000,3.0000,-10.0000,0.0000,0.0799,10.0000,-3.0000,-10.0000,0.0000,0.0720,13.0000,0.0000,-10.0000,0.0000,0.0837,7.0000,0.0000,-10.0000,0.0000,0.1297,13.0000,3.0000,-10.0000,0.0000,0.0449,7.0000,3.0000,-10.0000,0.0000,0.0447,13.0000,-3.0000,-10.0000,0.0000,0.0451,7.0000,-3.0000,-10.0000,0.0000,0.0473,10.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,10.0000,0.0000,-10.0000,0.0000,0.0783,10.0000,3.0000,-10.0000,0.0000,0.0810,10.0000,-3.0000,-10.0000,0.0000,0.0717,13.0000,0.0000,-10.0000,0.0000,0.0833,7.0000,0.0000,-10.0000,0.0000,0.1477,13.0000,3.0000,-10.0000,0.0000,0.0460,7.0000,3.0000,-10.0000,0.0000,0.0448,13.0000,-3.0000,-10.0000,0.0000,0.0455,7.0000,-3.0000,-10.0000,0.0000,0.0453,10.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,10.0000,0.0000,-10.0000,0.0000,0.0737,10.0000,3.0000,-10.0000,0.0000,0.0772,10.0000,-3.0000,-10.0000,0.0000,0.0683,13.0000,0.0000,-10.0000,0.0000,0.0831,7.0000,0.0000,-10.0000,0.0000,0.1441,13.0000,3.0000,-10.0000,0.0000,0.0484,7.0000,3.0000,-10.0000,0.0000,0.0456,13.0000,-3.0000,-10.0000,0.0000,0.0453,7.0000,-3.0000,-10.0000,0.0000,0.0457,10.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,10.0000,0.0000,-10.0000,0.0000,0.0743,10.0000,3.0000,-10.0000,0.0000,0.0830,10.0000,-3.0000,-10.0000,0.0000,0.0677,13.0000,0.0000,-10.0000,0.0000,0.0792,7.0000,0.0000,-10.0000,0.0000,0.1458,13.0000,3.0000,-10.0000,0.0000,0.0455,7.0000,3.0000,-10.0000,0.0000,0.0448,13.0000,-3.0000,-10.0000,0.0000,0.0463,7.0000,-3.0000,-10.0000,0.0000,0.0456,10.0000,0.0000,-5.0000,0.0000,3.0000
0.5000,10.0000,0.0000,-10.0000,0.0000,0.0789,10.0000,3.0000,-10.0000,0.0000,0.0772,10.0000,-3.0000,-10.0000,0.0000,0.0682,13.0000,0.0000,-10.0000,0.0000,0.0797,7.0000,0.0000,-10.0000,0.0000,0.1602,13.0000,3.0000,-10.0000,0.0000,0.0448,7.0000,3.0000,-10.0000,0.0000,0.0445,13.0000,-3.0000,-10.0000,0.0000,0.0451,7.0000,-3.0000,-10.0000,0.0000,0.0449,10.0000,0.0000,-5.0000,0.0000,3.0000
0.5500,10.0000,0.0000,-10.0000,0.0000,0.0738,10.0000,3.0000,-10.0000,0.0000,0.0773,10.0000,-3.0000,-10.0000,0.0000,0.0709,13.0000,0.0000,-10.0000,0.0000,0.0817,7.0000,0.0000,-10.0000,0.0000,0.1505,13.0000,3.0000,-10.0000,0.0000,0.0450,7.0000,3.0000,-10.0000,0.0000,0.0451,13.0000,-3.0000,-10.0000,0.0000,0.0449,7.0000,-3.0000,-10.0000,0.0000,0.0452,10.0000,0.0000,-5.0000,0.0000,3.0000
0.6000,10.0000,0.0000,-10.0000,0.0000,0.0765,10.0000,3.0000,-10.0000,0.0000,0.0828,10.0000,-3.0000,-10.0000,0.0000,0.0714,13.0000,0.0000,-10.0000,0.0000,0.0795,7.0000,0.0000,-10.0000,0.0000,0.1495,13.0000,3.0000,-10.0000,0.0000,0.0449,7.0000,3.0000,-10.0000,0.0000,0.0472,13.0000,-3.0000,-10.0000,0.0000,0.0475,7.0000,-3.0000,-10.0000,0.0000,0.0474,10.0000,0.0000,-5.0000,0.0000,3.0000
0.6500,10.0000,0.0000,-10.0000,0.0000,0.0765,10.0000,3.0000,-10.0000,0.0000,0.0769,10.0000,-3.0000,-10.0000,0.0000,0.0683,13.0000,0.0000,-10.0000,0.0000,0.0794,7.0000,0.0000,-10.0000,0.0000,0.0998,13.0000,3.0000,-10.0000,0.0000,0.0484,7.0000,3.0000,-10.0000,0.0000,0.0448,13.0000,-3.0000,-10.0000,0.0000,0.0453,7.0000,-3.0000,-10.0000,0.0000,0.0455,10.0000,0.0000,-5.0000,0.0000,3.0000
0.7000,10.0000,0.0000,-10.0000,0.0000,0.0748,10.0000,3.0000,-10.0000,0.0000,0.0767,10.0000,-3.0000,-10.0000,0.0000,0.0706,13.0000,0.0000,-10.0000,0.0000,0.0797,7.0000,0.0000,-10.0000,0.0000,0.0971,13.0000,3.0000,-10.0000,0.0000,0.0453,7.0000,3.0000,-10.0000,0.0000,0.0451,13.0000,-3.0000,-10.0000,0.0000,0.0451,7.0000,-3.0000,-10.0000,0.0000,0.0449,10.0000,0.0000,-5.0000,0.0000,3.0000
0.7500,10.0000,0.0000,-10.0000,0.0000,0.0735,10.0000,3.0000,-10.0000,0.0000,0.0772,10.0000,-3.0000,-10.0000,0.0000,0.0683,13.0000,0.0000,-10.0000,0.0000,0.0795,7.0000,0.0000,-10.0000,0.0000,0.0953,13.0000,3.0000,-10.0000,0.0000,0.0452,7.0000,3.0000,-10.0000,0.0000,0.0447,13.0000,-3.0000,-10.0000,0.0000,0.0447,7.0000,-3.0000,-10.0000,0.0000,0.0451,10.0000,0.0000,-5.0000,0.0000,3.0000
0.8000,10.0000,0.0000,-10.0000,0.0000,0.0738,10.0000,3.0000,-10.0000,0.0000,0.0773,10.0000,-3.0000,-10.0000,0.0000,0.0679,13.0000,0.0000,-10.0000,0.0000,0.0793,7.0000,0.0000,-10.0000,0.0000,0.0973,13.0000,3.0000,-10.0000,0.0000,0.0450,7.0000,3.0000,-10.0000,0.0000,0.0448,13.0000,-3.0000,-10.0000,0.0000,0.0450,7.0000,-3.0000,-10.0000,0.0000,0.0449,10.0000,0.0000,-5.0000,0.0000,3.0000
0.8500,10.0000,0.0000,-10.0000,0.0000,0.0737,10.0000,3.0000,-10.0000,0.0000,0.0775,10.0000,-3.0000,-10.0000,0.0000,0.0710,13.0000,0.0000,-10.0000,0.0000,0.0799,7.0000,0.0000,-10.0000,0.0000,0.1536,13.0000,3.0000,-10.0000,0.0000,0.0457,7.0000,3.0000,-10.0000,0.0000,0.0449,13.0000,-3.0000,-10.0000,0.0000,0.0453,7.0000,-3.0000,-10.0000,0.0000,0.0464,10.0000,0.0000,-5.0000,0.0000,3.0000
0.9000,10.0000,0.0000,-10.0000,0.0000,0.0769,10.0000,3.0000,-10.0000,0.0000,0.0827,10.0000,-3.0000,-10.0000,0.0000,0.0715,13.0000,0.0000,-10.0000,0.0000,0.0808,7.0000,0.0000,-10.0000,0.0000,0.1570,13.0000,3.0000,-10.0000,0.0000,0.0452,7.0000,3.0000,-10.0000,0.0000,0.0478,13.0000,-3.0000,-10.0000,0.0000,0.0481,7.0000,-3.0000,-10.0000,0.0000,0.0453,10.0000,0.0000,-5.0000,0.0000,3.0000
0.9500,10.0000,0.0000,-10.0000,0.0000,0.0742,10.0000,3.0000,-10.0000,0.0000,0.0779,10.0000,-3.0000,-10.0000,0.0000,0.0686,13.0000,0.0000,-10.0000,0.0000,0.0801,7.0000,0.0000,-10.0000,0.0000,0.1719,13.0000,3.0000,-10.0000,0.0000,0.0460,7.0000,3.0000,-10.0000,0.0000,0.0447,13.0000,-3.0000,-10.0000,0.0000,0.0446,7.0000,-3.0000,-10.0000,0.0000,0.0452,10.0000,0.0000,-5.0000,0.0000,3.0000
1.0000,10.0000,0.0000,-10.0000,0.0000,0.0736,10.0000,3.0000,-10.0000,0.0000,0.0769,10.0000,-3.0000,-10.0000,0.0000,0.0721,13.0000,0.0000,-10.0000,0.0000,0.0807,7.0000,0.0000,-10.0000,0.0000,0.1355,13.0000,3.0000,-10.0000,0.0000,0.0456,7.0000,3.0000,-10.0000,0.0000,0.0454,13.0000,-3.0000,-10.0000,0.0000,0.0458,7.0000,-3.0000,-10.0000,0.0000,0.0456,10.0000,0.0000,-5.0000,0.0000,3.0000
1.0500,10.0000,0.0000,-10.0000,0.0000,0.0773,10.0000,3.0000,-10.0000,0.0000,0.0777,10.0000,-3.0000,-10.0000,0.0000,0.0688,13.0000,0.0000,-10.0000,0.0000,0.0802,7.0000,0.0000,-10.0000,0.0000,0.1568,13.0000,3.0000,-10.0000,0.0000,0.0453,7.0000,3.0000,-10.0000,0.0000,0.0470,13.0000,-3.0000,-10.0000,0.0000,0.0453,7.0000,-3.0000,-10.0000,0.0000,0.0454,10.0000,0.0000,-5.0000,0.0000,3.0000
1.1000,10.0000,0.0000,-10.0000,0.0000,0.0752,10.0000,3.0000,-10.0000,0.0000,0.0781,10.0000,-3.0000,-10.0000,0.0000,0.0688,13.0000,0.0000,-10.0000,0.0000,0.0799,7.0000,0.0000,-10.0000,0.0000,0.1550,13.0000,3.0000,-10.0000,0.0000,0.0457,7.0000,3.0000,-10.0000,0.0000,0.0453,13.0000,-3.0000,-10.0000,0.0000,0.0453,7.0000,-3.0000,-10.0000,0.0000,0.0456,10.0000,0.0000,-5.0000,0.0000,3.0000
1.1500,10.0000,0.0000,-10.0000,0.0000,0.0744,10.0000,3.0000,-10.0000,0.0000,0.0779,10.0000,-3.0000,-10.0000,0.0000,0.0723,13.0000,0.0000,-10.0000,0.0000,0.0802,7.0000,0.0000,-10.0000,0.0000,0.0972,13.0000,3.0000,-10.0000,0.0000,0.0458,7.0000,3.0000,-10.0000,0.0000,0.0453,13.0000,-3.0000,-10.0000,0.0000,0.0452,7.0000,-3.0000,-10.0000,0.0000,0.0485,10.0000,0.0000,-5.0000,0.0000,3.0000
1.2000,10.0000,0.0000,-10.0000,0.0000,0.0788,10.0000,3.0000,-10.0000,0.0000,0.0813,10.0000,-3.0000,-10.0000,0.0000,0.0723,13.0000,0.0000,-10.0000,0.0000,0.0841,7.0000,0.0000,-10.0000,0.0000,0.0914,13.0000,3.0000,-10.0000,0.0000,0.0501,7.0000,3.0000,-10.0000,0.0000,0.0485,13.0000,-3.0000,-10.0000,0.0000,0.0480,7.0000,-3.0000,-10.0000,0.0000,0.0480,10.0000,0.0000,-5.0000,0.0000,3.0000
1.2500,10.0000,0.0000,-10.0000,0.0000,0.0790,10.0000,3.0000,-10.0000,0.0000,0.0827,10.0000,-3.0000,-10.0000,0.0000,0.0737,13.0000,0.0000,-10.0000,0.0000,0.0878,7.0000,0.0000,-10.0000,0.0000,0.0925,13.0000,3.0000,-10.0000,0.0000,0.0484,7.0000,3.0000,-10.0000,0.0000,0.0476,13.0000,-3.0000,-10.0000,0.0000,0.0481,7.0000,-3.0000,-10.0000,0.0000,0.0482,10.0000,0.0000,-5.0000,0.0000,3.0000
1.3000,10.0000,0.0000,-10.0000,0.0000,0.0783,10.0000,3.0000,-10.0000,0.0000,0.0825,10.0000,-3.0000,-10.0000,0.0000,0.0738,13.0000,0.0000,-10.0000,0.0000,0.0846,7.0000,0.0000,-10.0000,0.0000,0.1302,13.0000,3.0000,-10.0000,0.0000,0.0477,7.0000,3.0000,-10.0000,0.0000,0.0475,13.0000,-3.0000,-10.0000,0.0000,0.0478,7.0000,-3.0000,-10.0000,0.0000,0.0461,10.0000,0.0000,-5.0000,0.0000,3.0000
1.3500,10.0000,0.0000,-10.0000,0.0000,0.0739,10.0000,3.0000,-10.0000,0.0000,0.0771,10.0000,-3.0000,-10.0000,0.0000,0.0682,13.0000,0.0000,-10.0000,0.0000,0.0792,7.0000,0.0000,-10.0000,0.0000,0.0651,13.0000,3.0000,-10.0000,0.0000,0.0476,7.0000,3.0000,-10.0000,0.0000,0.0458,13.0000,-3.0000,-10.0000,0.0000,0.0449,7.0000,-3.0000,-10.0000,0.0000,0.0461,10.0000,0.0000,-5.0000,0.0000,3.0000
1.4000,10.0000,0.0000,-10.0000,0.0000,0.0737,10.0000,3.0000,-10.0000,0.0000,0.0774,10.0000,-3.0000,-10.0000,0.0000,0.0678,13.0000,0.0000,-10.0000,0.0000,0.0815,7.0000,0.0000,-10.0000,0.0000,0.0612,13.0000,3.0000,-10.0000,0.0000,0.0452,7.0000,3.0000,-10.0000,0.0000,0.0533,13.0000,-3.0000,-10.0000,0.0000,0.0452,7.0000,-3.0000,-10.0000,0.0000,0.0450,10.0000,0.0000,-5.0000,0.0000,3.0000
1.4500,10.0000,0.0000,-10.0000,0.0000,0.0739,10.0000,3.0000,-10.0000,0.0000,0.0796,10.0000,-3.0000,-10.0000,0.0000,0.0678,13.0000,0.0000,-10.0000,0.0000,0.0796,7.0000,0.0000,-10.0000,0.0000,0.0612,13.0000,3.0000,-10.0000,0.0000,0.0463,7.0000,3.0000,-10.0000,0.0000,0.0451,13.0000,-3.0000,-10.0000,0.0000,0.0454,7.0000,-3.0000,-10.0000,0.0000,0.0485,10.0000,0.0000,-5.0000,0.0000,3.0000
1.5000,10.0000,0.0000,-10.0000,0.0000,0.0755,10.0000,3.0000,-10.0000,0.0000,0.0777,10.0000,-3.0000,-10.0000,0.0000,0.0688,13.0000,0.0000,-10.0000,0.0000,0.0800,7.0000,0.0000,-10.0000,0.0000,0.0619,13.0000,3.0000,-10.0000,0.0000,0.0453,7.0000,3.0000,-10.0000,0.0000,0.0483,13.0000,-3.0000,-10.0000,0.0000,0.0481,7.0000,-3.0000,-10.0000,0.0000,0.0453,10.0000,0.0000,-5.0000,0.0000,3.0000
1.5500,10.0000,0.0000,-10.0000,0.0000,0.0779,10.0000,3.0000,-10.0000,0.0000,0.0815,10.0000,-3.0000,-10.0000,0.0000,0.0718,13.0000,0.0000,-10.0000,0.0000,0.0844,7.0000,0.0000,-10.0000,0.0000,0.0649,13.0000,3.0000,-10.0000,0.0000,0.0450,7.0000,3.0000,-10.0000,0.0000,0.0446,13.0000,-3.0000,-10.0000,0.0000,0.0449,7.0000,-3.0000,-10.0000,0.0000,0.0454,10.0000,0.0000,-5.0000,0.0000,3.0000
