t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,d5_x,d5_y,d5_z,d5_poserr,d5_solve_ms,d6_x,d6_y,d6_z,d6_poserr,d6_solve_ms,d7_x,d7_y,d7_z,d7_poserr,d7_solve_ms,d8_x,d8_y,d8_z,d8_poserr,d8_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,0.0000,-0.0000,-10.0000,0.0000,0.1927,0.0000,3.0000,-10.0000,0.0000,0.1574,0.0000,-3.0000,-10.0000,0.0000,0.4769,3.0000,-0.0000,-10.0000,0.0000,0.1156,-3.0000,-0.0000,-10.0000,0.0000,0.1131,3.0000,3.0000,-10.0000,0.0000,0.0917,-3.0000,3.0000,-10.0000,0.0000,0.0841,3.0000,-3.0000,-10.0000,0.0000,0.0863,-3.0000,-3.0000,-10.0000,0.0000,0.0849,0.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,0.0000,-0.0000,-10.0000,0.0000,0.1047,0.0000,3.0000,-10.0000,0.0000,0.1138,0.0000,-3.0000,-10.0000,0.0000,0.2730,3.0000,-0.0000,-10.0000,0.0000,0.0794,-3.0000,-0.0000,-10.0000,0.0000,0.0758,3.0000,3.0000,-10.0000,0.0000,0.0762,-3.0000,3.0000,-10.0000,0.0000,0.0759,3.0000,-3.0000,-10.0000,0.0000,0.0737,-3.0000,-3.0000,-10.0000,0.0000,0.0736,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,0.0000,-0.0000,-10.0000,0.0000,0.0963,0.0000,3.0000,-10.0000,0.0000,0.1012,0.0000,-3.0000,-10.0000,0.0000,0.2566,3.0000,-0.0000,-10.0000,0.0000,0.0612,-3.0000,-0.0000,-10.0000,0.0000,0.0633,3.0000,3.0000,-10.0000,0.0000,0.0643,-3.0000,3.0000,-10.0000,0.0000,0.0607,3.0000,-3.0000,-10.0000,0.0000,0.0613,-3.0000,-3.0000,-10.0000,0.0000,0.0613,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,0.0000,-0.0000,-10.0000,0.0000,0.0959,0.0000,3.0000,-10.0000,0.0000,0.0961,0.0000,-3.0000,-10.0000,0.0000,0.2066,3.0000,-0.0000,-10.0000,0.0000,0.0610,-3.0000,-0.0000,-10.0000,0.0000,0.0613,3.0000,3.0000,-10.0000,0.0000,0.0641,-3.0000,3.0000,-10.0000,0.0000,0.0614,3.0000,-3.0000,-10.0000,0.0000,0.0623,-3.0000,-3.0000,-10.0000,0.0000,0.0615,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,0.0000,-0.0000,-10.0000,0.0000,0.0921,0.0000,3.0000,-10.0000,0.0000,0.0965,0.0000,-3.0000,-10.0000,0.0000,0.2141,3.0000,-0.0000,-10.0000,0.0000,0.0612,-3.0000,-0.0000,-10.0000,0.0000,0.0621,3.0000,3.0000,-10.0000,0.0000,0.0456,-3.0000,3.0000,-10.0000,0.0000,0.0451,3.0000,-3.0000,-10.0000,0.0000,0.0455,-3.0000,-3.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,0.0000,-0.0000,-10.0000,0.0000,0.0918,0.0000,3.0000,-10.0000,0.0000,0.0950,0.0000,-3.0000,-10.0000,0.0000,0.2079,3.0000,-0.0000,-10.0000,0.0000,0.0620,-3.0000,-0.0000,-10.0000,0.0000,0.0610,3.0000,3.0000,-10.0000,0.0000,0.0500,-3.0000,3.0000,-10.0000,0.0000,0.0490,3.0000,-3.0000,-10.0000,0.0000,0.0489,-3.0000,-3.0000,-10.0000,0.0000,0.0492,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,0.0000,-0.0000,-10.0000,0.0000,0.0918,0.0000,3.0000,-10.0000,0.0000,0.0967,0.0000,-3.0000,-10.0000,0.0000,0.2129,3.0000,-0.0000,-10.0000,0.0000,0.0635,-3.0000,-0.0000,-10.0000,0.0000,0.0608,3.0000,3.0000,-10.0000,0.0000,0.0485,-3.0000,3.0000,-10.0000,0.0000,0.0483,3.0000,-3.0000,-10.0000,0.0000,0.0485,-3.0000,-3.0000,-10.0000,0.0000,0.0484,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,0.0000,-0.0000,-10.0000,0.0000,0.0973,0.0000,3.0000,-10.0000,0.0000,0.0979,0.0000,-3.0000,-10.0000,0.0000,0.2147,3.0000,-0.0000,-10.0000,0.0000,0.0605,-3.0000,-0.0000,-10.0000,0.0000,0.0610,3.0000,3.0000,-10.0000,0.0000,0.0453,-3.0000,3.0000,-10.0000,0.0000,0.0462,3.0000,-3.0000,-10.0000,0.0000,0.0450,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,0.0000,-0.0000,-10.0000,0.0000,0.0939,0.0000,3.0000,-10.0000,0.0000,0.1007,0.0000,-3.0000,-10.0000,0.0000,0.2150,3.0000,-0.0000,-10.0000,0.0000,0.0614,-3.0000,-0.0000,-10.0000,0.0000,0.0604,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0450,3.0000,-3.0000,-10.0000,0.0000,0.0449,-3.0000,-3.0000,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,0.0000,-0.0000,-10.0000,0.0000,0.0939,0.0000,3.0000,-10.0000,0.0000,0.0988,0.0000,-3.0000,-10.0000,0.0000,0.1971,3.0000,-0.0000,-10.0000,0.0000,0.0611,-3.0000,-0.0000,-10.0000,0.0000,0.0615,3.0000,3.0000,-10.0000,0.0000,0.0453,-3.0000,3.0000,-10.0000,0.0000,0.0479,3.0000,-3.0000,-10.0000,0.0000,0.0482,-3.0000,-3.0000,-10.0000,0.0000,0.0456,0.0000,0.0000,-5.0000,0.0000,3.0000
0.5000,0.0000,-0.0000,-10.0000,0.0000,0.0921,0.0000,3.0000,-10.0000,0.0000,0.0965,0.0000,-3.0000,-10.0000,0.0000,0.2429,3.0000,-0.0000,-10.0000,0.0000,0.0631,-3.0000,-0.0000,-10.0000,0.0000,0.0621,3.0000,3.0000,-10.0000,0.0000,0.0455,-3.0000,3.0000,-10.0000,0.0000,0.0458,3.0000,-3.0000,-10.0000,0.0000,0.0453,-3.0000,-3.0000,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,3.0000
0.5500,0.0000,-0.0000,-10.0000,0.0000,0.0921,0.0000,3.0000,-10.0000,0.0000,0.1010,0.0000,-3.0000,-10.0000,0.0000,0.2945,3.0000,-0.0000,-10.0000,0.0000,0.0619,-3.0000,-0.0000,-10.0000,0.0000,0.0611,3.0000,3.0000,-10.0000,0.0000,0.0455,-3.0000,3.0000,-10.0000,0.0000,0.0474,3.0000,-3.0000,-10.0000,0.0000,0.0474,-3.0000,-3.0000,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6000,0.0000,-0.0000,-10.0000,0.0000,0.0911,0.0000,3.0000,-10.0000,0.0000,0.0954,0.0000,-3.0000,-10.0000,0.0000,0.2832,3.0000,-0.0000,-10.0000,0.0000,0.0651,-3.0000,-0.0000,-10.0000,0.0000,0.0603,3.0000,3.0000,-10.0000,0.0000,0.0449,-3.0000,3.0000,-10.0000,0.0000,0.0449,3.0000,-3.0000,-10.0000,0.0000,0.0450,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6500,0.0000,-0.0000,-10.0000,0.0000,0.0942,0.0000,3.0000,-10.0000,0.0000,0.0957,0.0000,-3.0000,-10.0000,0.0000,0.2513,3.0000,-0.0000,-10.0000,0.0000,0.0606,-3.0000,-0.0000,-10.0000,0.0000,0.0605,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0475,3.0000,-3.0000,-10.0000,0.0000,0.0448,-3.0000,-3.0000,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,3.0000
