t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,d3_x,d3_y,d3_z,d3_poserr,d3_solve_ms,d4_x,d4_y,d4_z,d4_poserr,d4_solve_ms,d5_x,d5_y,d5_z,d5_poserr,d5_solve_ms,d6_x,d6_y,d6_z,d6_poserr,d6_solve_ms,d7_x,d7_y,d7_z,d7_poserr,d7_solve_ms,d8_x,d8_y,d8_z,d8_poserr,d8_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,-0.0000,0.0000,-10.0000,0.0000,0.1381,-0.0000,3.0000,-10.0000,0.0000,0.1252,-0.0000,-3.0000,-10.0000,0.0000,0.2758,3.0000,-0.0000,-10.0000,0.0000,0.0796,-3.0000,-0.0000,-10.0000,0.0000,0.0811,3.0000,3.0000,-10.0000,0.0000,0.0675,-3.0000,3.0000,-10.0000,0.0000,0.0658,3.0000,-3.0000,-10.0000,0.0000,0.0642,-3.0000,-3.0000,-10.0000,0.0000,0.0669,0.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,-0.0000,0.0000,-10.0000,0.0000,0.0802,-0.0000,3.0000,-10.0000,0.0000,0.1040,-0.0000,-3.0000,-10.0000,0.0000,0.2704,3.0000,-0.0000,-10.0000,0.0000,0.0736,-3.0000,-0.0000,-10.0000,0.0000,0.0771,3.0000,3.0000,-10.0000,0.0000,0.0603,-3.0000,3.0000,-10.0000,0.0000,0.0580,3.0000,-3.0000,-10.0000,0.0000,0.0584,-3.0000,-3.0000,-10.0000,0.0000,0.0573,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,0.0000,0.0000,-10.0000,0.0000,0.0792,-0.0000,3.0000,-10.0000,0.0000,0.0997,-0.0000,-3.0000,-10.0000,0.0000,0.2658,3.0000,-0.0000,-10.0000,0.0000,0.0628,-3.0000,-0.0000,-10.0000,0.0000,0.0656,3.0000,3.0000,-10.0000,0.0000,0.0466,-3.0000,3.0000,-10.0000,0.0000,0.0451,3.0000,-3.0000,-10.0000,0.0000,0.0456,-3.0000,-3.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,0.0000,0.0000,-10.0000,0.0000,0.0736,-0.0000,3.0000,-10.0000,0.0000,0.0770,-0.0000,-3.0000,-10.0000,0.0000,0.1479,3.0000,-0.0000,-10.0000,0.0000,0.0460,-3.0000,-0.0000,-10.0000,0.0000,0.0454,3.0000,3.0000,-10.0000,0.0000,0.0455,-3.0000,3.0000,-10.0000,0.0000,0.0454,3.0000,-3.0000,-10.0000,0.0000,0.0450,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,0.0000,0.0000,-10.0000,0.0000,0.0764,-0.0000,3.0000,-10.0000,0.0000,0.0777,-0.0000,-3.0000,-10.0000,0.0000,0.1077,3.0000,-0.0000,-10.0000,0.0000,0.0451,-3.0000,-0.0000,-10.0000,0.0000,0.0447,3.0000,3.0000,-10.0000,0.0000,0.0449,-3.0000,3.0000,-10.0000,0.0000,0.0445,3.0000,-3.0000,-10.0000,0.0000,0.0445,-3.0000,-3.0000,-10.0000,0.0000,0.0472,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,0.0000,0.0000,-10.0000,0.0000,0.0737,-0.0000,3.0000,-10.0000,0.0000,0.0772,-0.0000,-3.0000,-10.0000,0.0000,0.1128,3.0000,-0.0000,-10.0000,0.0000,0.0447,-3.0000,-0.0000,-10.0000,0.0000,0.0448,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0447,-3.0000,-3.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,0.0000,0.0000,-10.0000,0.0000,0.0739,-0.0000,3.0000,-10.0000,0.0000,0.0769,-0.0000,-3.0000,-10.0000,0.0000,0.0766,3.0000,-0.0000,-10.0000,0.0000,0.0448,-3.0000,-0.0000,-10.0000,0.0000,0.0473,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0446,3.0000,-3.0000,-10.0000,0.0000,0.0447,-3.0000,-3.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,0.0000,0.0000,-10.0000,0.0000,0.0739,-0.0000,3.0000,-10.0000,0.0000,0.0772,-0.0000,-3.0000,-10.0000,0.0000,0.1242,3.0000,-0.0000,-10.0000,0.0000,0.0447,-3.0000,-0.0000,-10.0000,0.0000,0.0451,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0448,3.0000,-3.0000,-10.0000,0.0000,0.0450,-3.0000,-3.0000,-10.0000,0.0000,0.0462,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,0.0000,0.0000,-10.0000,0.0000,0.0736,-0.0000,3.0000,-10.0000,0.0000,0.0804,-0.0000,-3.0000,-10.0000,0.0000,0.1140,3.0000,-0.0000,-10.0000,0.0000,0.0451,-3.0000,-0.0000,-10.0000,0.0000,0.0455,3.0000,3.0000,-10.0000,0.0000,0.0451,-3.0000,3.0000,-10.0000,0.0000,0.0450,3.0000,-3.0000,-10.0000,0.0000,0.0461,-3.0000,-3.0000,-10.0000,0.0000,0.0477,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,0.0000,0.0000,-10.0000,0.0000,0.0776,-0.0000,3.0000,-10.0000,0.0000,0.0771,-0.0000,-3.0000,-10.0000,0.0000,0.0707,3.0000,-0.0000,-10.0000,0.0000,0.0449,-3.0000,-0.0000,-10.0000,0.0000,0.0448,3.0000,3.0000,-10.0000,0.0000,0.0450,-3.0000,3.0000,-10.0000,0.0000,0.0451,3.0000,-3.0000,-10.0000,0.0000,0.0472,-3.0000,-3.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
