t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,0.0000,0.0000,-10.0000,0.0000,0.1226,-3.0000,0.0000,-10.0000,0.0000,0.0862,0.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,0.0000,0.0000,-10.0000,0.0000,0.0686,-3.0000,0.0000,-10.0000,0.0000,0.0669,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,0.0000,0.0000,-10.0000,0.0000,0.0629,-3.0000,0.0000,-10.0000,0.0000,0.0624,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,0.0000,0.0000,-10.0000,0.0000,0.0617,-3.0000,0.0000,-10.0000,0.0000,0.0614,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,0.0000,0.0000,-10.0000,0.0000,0.0448,-3.0000,0.0000,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,0.0000,0.0000,-10.0000,0.0000,0.0484,-3.0000,0.0000,-10.0000,0.0000,0.0500,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,0.0000,0.0000,-10.0000,0.0000,0.0499,-3.0000,0.0000,-10.0000,0.0000,0.0486,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,0.0000,0.0000,-10.0000,0.0000,0.0449,-3.0000,0.0000,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,0.0000,0.0000,-10.0000,0.0000,0.0445,-3.0000,0.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,0.0000,0.0000,-10.0000,0.0000,0.0449,-3.0000,0.0000,-10.0000,0.0000,0.0459,0.0000,0.0000,-5.0000,0.0000,3.0000
0.5000,0.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,3.0000
0.5500,0.0000,0.0000,-10.0000,0.0000,0.0425,-3.0000,0.0000,-10.0000,0.0000,0.0420,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6000,0.0000,0.0000,-10.0000,0.0000,0.0421,-3.0000,0.0000,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6500,0.0000,0.0000,-10.0000,0.0000,0.0447,-3.0000,0.0000,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,3.0000
0.7000,0.0000,0.0000,-10.0000,0.0000,0.0429,-3.0000,0.0000,-10.0000,0.0000,0.0491,0.0000,0.0000,-5.0000,0.0000,3.0000
0.7500,0.0000,0.0000,-10.0000,0.0000,0.0475,-3.0000,0.0000,-10.0000,0.0000,0.0488,0.0000,0.0000,-5.0000,0.0000,3.0000
0.8000,0.0000,0.0000,-10.0000,0.0000,0.0449,-3.0000,0.0000,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,3.0000
0.8500,0.0000,0.0000,-10.0000,0.0000,0.0433,-3.0000,0.0000,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,3.0000
0.9000,0.0000,0.0000,-10.0000,0.0000,0.0425,-3.0000,0.0000,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,3.0000
0.9500,0.0000,0.0000,-10.0000,0.0000,0.0421,-3.0000,0.0000,-10.0000,0.0000,0.0531,0.0000,0.0000,-5.0000,0.0000,3.0000
1.0000,0.0000,0.0000,-10.0000,0.0000,0.0447,-3.0000,0.0000,-10.0000,0.0000,0.0420,0.0000,0.0000,-5.0000,0.0000,3.0000
1.0500,0.0000,0.0000,-10.0000,0.0000,0.0421,-3.0000,0.0000,-10.0000,0.0000,0.0427,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1000,0.0000,0.0000,-10.0000,0.0000,0.0422,-3.0000,0.0000,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,3.0000
1.1500,0.0000,0.0000,-10.0000,0.0000,0.0425,-3.0000,0.0000,-10.0000,0.0000,0.0429,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2000,0.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,3.0000
1.2500,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3000,0.0000,0.0000,-10.0000,0.0000,0.0431,-3.0000,0.0000,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,3.0000
1.3500,0.0000,0.0000,-10.0000,0.0000,0.0423,-3.0000,0.0000,-10.0000,0.0000,0.0439,0.0000,0.0000,-5.0000,0.0000,3.0000
1.4000,0.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,3.0000
1.4500,0.0000,0.0000,-10.0000,0.0000,0.0420,-3.0000,0.0000,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,3.0000
1.5000,0.0000,0.0000,-10.0000,0.0000,0.0419,-3.0000,0.0000,-10.0000,0.0000,0.0430,0.0000,0.0000,-5.0000,0.0000,3.0000
1.5500,0.0000,0.0000,-10.0000,0.0000,0.0420,-3.0000,0.0000,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,3.0000
1.6000,0.0000,0.0000,-10.0000,0.0000,0.0445,-3.0000,0.0000,-10.0000,0.0000,0.0434,0.0000,0.0000,-5.0000,0.0000,3.0000
1.6500,0.0000,0.0000,-10.0000,0.0000,0.0421,-3.0000,0.0000,-10.0000,0.0000,0.0420,0.0000,0.0000,-5.0000,0.0000,3.0000
1.7000,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,3.0000
1.7500,0.0000,0.0000,-10.0000,0.0000,0.0432,-3.0000,0.0000,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,3.0000
1.8000,0.0000,0.0000,-10.0000,0.0000,0.0421,-3.0000,0.0000,-10.0000,0.0000,0.0456,0.0000,0.0000,-5.0000,0.0000,3.0000
1.8500,0.0000,0.0000,-10.0000,0.0000,0.0425,-3.0000,0.0000,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,3.0000
1.9000,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,3.0000
1.9500,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0435,0.0000,0.0000,-5.0000,0.0000,3.0000
2.0000,0.0000,0.0000,-10.0000,0.0000,0.0431,-3.0000,0.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
2.0500,0.0000,0.0000,-10.0000,0.0000,0.0422,-3.0000,0.0000,-10.0000,0.0000,0.0427,0.0000,0.0000,-5.0000,0.0000,3.0000
2.1000,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,3.0000
2.1500,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0426,0.0000,0.0000,-5.0000,0.0000,3.0000
2.2000,0.0000,0.0000,-10.0000,0.0000,0.0442,-3.0000,0.0000,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,3.0000
2.2500,0.0000,0.0000,-10.0000,0.0000,0.0425,-3.0000,0.0000,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,3.0000
2.3000,0.0000,0.0000,-10.0000,0.0000,0.0426,-3.0000,0.0000,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,3.0000
2.3500,0.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,3.0000
2.4000,0.0000,0.0000,-10.0000,0.0000,0.0448,-3.0000,0.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
2.4500,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0424,0.0000,0.0000,-5.0000,0.0000,3.0000
2.5000,0.0000,0.0000,-10.0000,0.0000,0.0446,-3.0000,0.0000,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,3.0000
2.5500,0.0000,0.0000,-10.0000,0.0000,0.0448,-3.0000,0.0000,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,3.0000
2.6000,0.0000,0.0000,-10.0000,0.0000,0.0445,-3.0000,0.0000,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,3.0000
2.6500,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,3.0000
2.7000,0.0000,0.0000,-10.0000,0.0000,0.0424,-3.0000,0.0000,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,3.0000
2.7500,0.0000,0.0000,-10.0000,0.0000,0.0422,-3.0000,0.0000,-10.0000,0.0000,0.0420,0.0000,0.0000,-5.0000,0.0000,3.0000
2.8000,0.0000,0.0000,-10.0000,0.0000,0.0433,-3.0000,0.0000,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,3.0000
2.8500,0.0000,0.0000,-10.0000,0.0000,0.0420,-3.0000,0.0000,-10.0000,0.0000,0.0429,0.0000,0.0000,-5.0000,0.0000,3.0000
2.9000,0.0000,0.0000,-10.0000,0.0000,0.0418,-3.0000,0.0000,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,3.0000
2.9500,0.0000,0.0000,-10.0000,0.0000,0.0418,-3.0000,0.0000,-10.0000,0.0000,0.0417,0.0000,0.0000,-5.0000,0.0000,3.0000
3.0000,0.0000,0.0000,-10.0000,0.0000,0.0419,-3.0000,0.0000,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,3.0000
3.0500,0.0000,0.0000,-10.0000,0.0000,0.0428,-3.0000,0.0000,-10.0000,0.0000,0.0419,0.0000,0.0000,-5.0000,0.0000,3.0000
3.1000,0.0000,0.0000,-10.0000,0.0000,0.0434,-3.0000,0.0000,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,3.0000
3.1500,0.0000,0.0000,-10.0000,0.0000,0.0421,-3.0000,0.0000,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,3.0000
3.2000,0.0000,0.0000,-10.0000,0.0000,0.0418,-3.0000,0.0000,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,3.0000
3.2500,0.0000,0.0000,-10.0000,0.0000,0.0443,-3.0000,0.0000,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,3.0000
3.3000,0.0000,0.0000,-10.0000,0.0000,0.0442,-3.0000,0.0000,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,3.0000
3.3500,0.0000,0.0000,-10.0000,0.0000,0.0454,-3.0000,0.0000,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,3.0000
3.4000,0.0000,0.0000,-10.0000,0.0000,0.0453,-3.0000,0.0000,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,3.0000
3.4500,0.0000,0.0000,-10.0000,0.0000,0.0445,-3.0000,0.0000,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,3.0000
3.5000,0.0000,0.0000,-10.0000,0.0000,0.0444,-3.0000,0.0000,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,3.0000
3.5500,0.0000,0.0000,-10.0000,0.0000,0.0452,-3.0000,0.0000,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,3.0000
3.6000,0.0000,0.0000,-10.0000,0.0000,0.0440,-3.0000,0.0000,-10.0000,0.0000,0.0440,0.0000,0.0000,-5.0000,0.0000,3.0000
3.6500,0.0000,0.0000,-10.0000,0.0000,0.0445,-3.0000,0.0000,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,3.0000
3.7000,0.0000,0.0000,-10.0000,0.0000,0.0444,-3.0000,0.0000,-10.0000,0.0000,0.0442,0.0000,0.0000,-5.0000,0.0000,3.0000
