t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,0.0000,0.0000,-10.0000,0.0000,0.1086,-3.0000,0.0000,-10.0000,0.0000,0.0680,0.0000,0.0000,-5.0000,0.0000,3.0000
0.0500,0.0000,0.0000,-10.0000,0.0000,0.0498,-3.0000,0.0000,-10.0000,0.0000,0.0470,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1000,0.0000,0.0000,-10.0000,0.0000,0.0438,-3.0000,0.0000,-10.0000,0.0000,0.0432,0.0000,0.0000,-5.0000,0.0000,3.0000
0.1500,0.0000,0.0000,-10.0000,0.0000,0.0461,-3.0000,0.0000,-10.0000,0.0000,0.0458,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2000,0.0000,0.0000,-10.0000,0.0000,0.0475,-3.0000,0.0000,-10.0000,0.0000,0.0430,0.0000,0.0000,-5.0000,0.0000,3.0000
0.2500,0.0000,0.0000,-10.0000,0.0000,0.0428,-3.0000,0.0000,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3000,0.0000,0.0000,-10.0000,0.0000,0.0425,-3.0000,0.0000,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,3.0000
0.3500,0.0000,0.0000,-10.0000,0.0000,0.0489,-3.0000,0.0000,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4000,0.0000,0.0000,-10.0000,0.0000,0.0445,-3.0000,0.0000,-10.0000,0.0000,0.0433,0.0000,0.0000,-5.0000,0.0000,3.0000
0.4500,0.0000,0.0000,-10.0000,0.0000,0.0429,-3.0000,0.0000,-10.0000,0.0000,0.0429,0.0000,0.0000,-5.0000,0.0000,3.0000
0.5000,0.0000,0.0000,-10.0000,0.0000,0.0426,-3.0000,0.0000,-10.0000,0.0000,0.0427,0.0000,0.0000,-5.0000,0.0000,3.0000
0.5500,0.0000,0.0000,-10.0000,0.0000,0.0429,-3.0000,0.0000,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6000,0.0000,0.0000,-10.0000,0.0000,0.0423,-3.0000,0.0000,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,3.0000
0.6500,0.0000,0.0000,-10.0000,0.0000,0.0441,-3.0000,0.0000,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,3.0000
