t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,13.0000,0.0000,-10.0000,0.0000,0.1296,8.5000,2.5980,-10.0000,0.0000,0.0831,8.5000,-2.5980,-10.0000,0.0000,0.0816,10.0000,0.0000,-5.0000,0.0000,5.1960
0.0500,13.0000,0.0000,-10.0000,0.0000,0.0629,8.5000,2.5980,-10.0000,0.0000,0.0622,8.5000,-2.5980,-10.0000,0.0000,0.0617,10.0000,0.0000,-5.0000,0.0000,5.1960
0.1000,13.0000,0.0000,-10.0000,0.0000,0.0628,8.5000,2.5980,-10.0000,0.0000,0.0624,8.5000,-2.5980,-10.0000,0.0000,0.0617,10.0000,0.0000,-5.0000,0.0000,5.1960
0.1500,13.0000,0.0000,-10.0000,0.0000,0.0631,8.5000,2.5980,-10.0000,0.0000,0.0616,8.5000,-2.5980,-10.0000,0.0000,0.0615,10.0000,0.0000,-5.0000,0.0000,5.1960
0.2000,13.0000,0.0000,-10.0000,0.0000,0.0619,8.5000,2.5980,-10.0000,0.0000,0.0616,8.5000,-2.5980,-10.0000,0.0000,0.0617,10.0000,0.0000,-5.0000,0.0000,5.1960
0.2500,13.0000,0.0000,-10.0000,0.0000,0.0613,8.5000,2.5980,-10.0000,0.0000,0.0632,8.5000,-2.5980,-10.0000,0.0000,0.0618,10.0000,0.0000,-5.0000,0.0000,5.1960
0.3000,13.0000,0.0000,-10.0000,0.0000,0.0618,8.5000,2.5980,-10.0000,0.0000,0.0617,8.5000,-2.5980,-10.0000,0.0000,0.0617,10.0000,0.0000,-5.0000,0.0000,5.1960
0.3500,13.0000,0.0000,-10.0000,0.0000,0.0612,8.5000,2.5980,-10.0000,0.0000,0.0615,8.5000,-2.5980,-10.0000,0.0000,0.0609,10.0000,0.0000,-5.0000,0.0000,5.1960
0.4000,13.0000,0.0000,-10.0000,0.0000,0.0443,8.5000,2.5980,-10.0000,0.0000,0.0426,8.5000,-2.5980,-10.0000,0.0000,0.0422,10.0000,0.0000,-5.0000,0.0000,5.1960
0.4500,13.0000,0.0000,-10.0000,0.0000,0.0451,8.5000,2.5980,-10.0000,0.0000,0.0448,8.5000,-2.5980,-10.0000,0.0000,0.0422,10.0000,0.0000,-5.0000,0.0000,5.1960
0.5000,13.0000,0.0000,-10.0000,0.0000,0.0425,8.5000,2.5980,-10.0000,0.0000,0.0421,8.5000,-2.5980,-10.0000,0.0000,0.0447,10.0000,0.0000,-5.0000,0.0000,5.1960
0.5500,13.0000,0.0000,-10.0000,0.0000,0.0433,8.5000,2.5980,-10.0000,0.0000,0.0426,8.5000,-2.5980,-10.0000,0.0000,0.0444,10.0000,0.0000,-5.0000,0.0000,5.1960
0.6000,13.0000,0.0000,-10.0000,0.0000,0.0444,8.5000,2.5980,-10.0000,0.0000,0.0448,8.5000,-2.5980,-10.0000,0.0000,0.0421,10.0000,0.0000,-5.0000,0.0000,5.1960
0.6500,13.0000,0.0000,-10.0000,0.0000,0.0446,8.5000,2.5980,-10.0000,0.0000,0.0434,8.5000,-2.5980,-10.0000,0.0000,0.0420,10.0000,0.0000,-5.0000,0.0000,5.1960
