t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
0.0000,3.0000,0.0000,-10.0000,0.0000,0.1249,-1.5000,2.5980,-10.0000,0.0000,0.0820,-1.5000,-2.5980,-10.0000,0.0000,0.0871,0.0000,0.0000,-5.0000,0.0000,5.1960
0.0500,3.0000,0.0000,-10.0000,0.0000,0.0668,-1.5000,2.5980,-10.0000,0.0000,0.0657,-1.5000,-2.5980,-10.0000,0.0000,0.0633,0.0000,0.0000,-5.0000,0.0000,5.1960
0.1000,3.0000,0.0000,-10.0000,0.0000,0.0603,-1.5000,2.5980,-10.0000,0.0000,0.0604,-1.5000,-2.5980,-10.0000,0.0000,0.0595,0.0000,0.0000,-5.0000,0.0000,5.1960
0.1500,3.0000,0.0000,-10.0000,0.0000,0.0431,-1.5000,2.5980,-10.0000,0.0000,0.0590,-1.5000,-2.5980,-10.0000,0.0000,0.0613,0.0000,0.0000,-5.0000,0.0000,5.1960
0.2000,3.0000,0.0000,-10.0000,0.0000,0.0429,-1.5000,2.5980,-10.0000,0.0000,0.0429,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
0.2500,3.0000,0.0000,-10.0000,0.0000,0.0436,-1.5000,2.5980,-10.0000,0.0000,0.0436,-1.5000,-2.5980,-10.0000,0.0000,0.0466,0.0000,0.0000,-5.0000,0.0000,5.1960
0.3000,3.0000,0.0000,-10.0000,0.0000,0.0437,-1.5000,2.5980,-10.0000,0.0000,0.0462,-1.5000,-2.5980,-10.0000,0.0000,0.0487,0.0000,0.0000,-5.0000,0.0000,5.1960
0.3500,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0455,-1.5000,-2.5980,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,5.1960
0.4000,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
0.4500,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
0.5000,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0621,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
0.5500,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0477,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
0.6000,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
0.6500,3.0000,0.0000,-10.0000,0.0000,0.0456,-1.5000,2.5980,-10.0000,0.0000,0.0614,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
0.7000,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
0.7500,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0485,-1.5000,-2.5980,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,5.1960
0.8000,3.0000,0.0000,-10.0000,0.0000,0.0453,-1.5000,2.5980,-10.0000,0.0000,0.0630,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
0.8500,3.0000,0.0000,-10.0000,0.0000,0.0448,-1.5000,2.5980,-10.0000,0.0000,0.0482,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
